qualified_id,cohort,artifact_sha256,parameter_id,direction,ordinal,tensor_index,tensor_name,dtype,shape,shape_signature,quantization_status,scheme,granularity,scales,zero_points,quantized_dimension,contract_sha256
google-legacy-quantized/inception-v3-quant,google-legacy-quantized,6aecf177dc84a11dc5ea8f03df188039dded543fc7cd03f3b89a6541dbb37ee6,input:0:T315,input,0,315,input,UINT8,"[1,299,299,3]",[],complete,affine,per_tensor,[0.0078125],[128],0,caf9dc3df8ee859e9f5f63065cf92ad520fd9225548b181f0aa0988261dacf52
google-legacy-quantized/inception-v3-quant,google-legacy-quantized,6aecf177dc84a11dc5ea8f03df188039dded543fc7cd03f3b89a6541dbb37ee6,output:0:T316,output,0,316,output,UINT8,"[1,1001]",[],complete,affine,per_tensor,[0.07597498595714569],[53],0,022fc66019b1c31107f815b95af47bbed043aa40314a6d933d4d370f80c891ac
google-legacy-quantized/mobilenet-v1-1.0-224-quant,google-legacy-quantized,ecc3a67c47c5a609ec35f6a58a7d97532834e43df4cb7d3f1204a8164b7d20dd,input:0:T88,input,0,88,input,UINT8,"[1,224,224,3]",[],complete,affine,per_tensor,[0.0078125],[128],0,caf9dc3df8ee859e9f5f63065cf92ad520fd9225548b181f0aa0988261dacf52
google-legacy-quantized/mobilenet-v1-1.0-224-quant,google-legacy-quantized,ecc3a67c47c5a609ec35f6a58a7d97532834e43df4cb7d3f1204a8164b7d20dd,output:0:T87,output,0,87,MobilenetV1/Predictions/Reshape_1,UINT8,"[1,1001]",[],complete,affine,per_tensor,[0.00390625],[0],0,77bac4e9a78f7e45b931ccff9ccb849e4ccef51eda44fdfe13221ad41b51aa64
google-legacy-quantized/mobilenet-v2-1.0-224-quant,google-legacy-quantized,f08d447cde49b4e0446428aa921aff0a14ea589fa9c5817b31f83128e9a43c1d,input:0:T171,input,0,171,input,UINT8,"[1,224,224,3]",[],complete,affine,per_tensor,[0.0078125],[128],0,caf9dc3df8ee859e9f5f63065cf92ad520fd9225548b181f0aa0988261dacf52
google-legacy-quantized/mobilenet-v2-1.0-224-quant,google-legacy-quantized,f08d447cde49b4e0446428aa921aff0a14ea589fa9c5817b31f83128e9a43c1d,output:0:T172,output,0,172,output,UINT8,"[1,1001]",[],complete,affine,per_tensor,[0.09889253973960876],[58],0,fd9168008a929b3062e4402c0c65c64dd2f70dd7050463f9312f1cb91c732fe9
google-legacy-quantized/ssd-mobilenet-v1-quant,google-legacy-quantized,e4b118e5e4531945de2e659742c7c590f7536f8d0ed26d135abcfe83b4779d13,input:0:T175,input,0,175,normalized_input_image_tensor,UINT8,"[1,300,300,3]",[],complete,affine,per_tensor,[0.0078125],[128],0,caf9dc3df8ee859e9f5f63065cf92ad520fd9225548b181f0aa0988261dacf52
google-legacy-quantized/ssd-mobilenet-v1-quant,google-legacy-quantized,e4b118e5e4531945de2e659742c7c590f7536f8d0ed26d135abcfe83b4779d13,output:0:T167,output,0,167,TFLite_Detection_PostProcess,FLOAT32,[],[],not_quantized,none,not_quantized,[],[],0,225a7edf66752cb76b869e0e507846dd75683cca0a1055994d2b515b55a55b54
google-legacy-quantized/ssd-mobilenet-v1-quant,google-legacy-quantized,e4b118e5e4531945de2e659742c7c590f7536f8d0ed26d135abcfe83b4779d13,output:1:T168,output,1,168,TFLite_Detection_PostProcess:1,FLOAT32,[],[],not_quantized,none,not_quantized,[],[],0,225a7edf66752cb76b869e0e507846dd75683cca0a1055994d2b515b55a55b54
google-legacy-quantized/ssd-mobilenet-v1-quant,google-legacy-quantized,e4b118e5e4531945de2e659742c7c590f7536f8d0ed26d135abcfe83b4779d13,output:2:T169,output,2,169,TFLite_Detection_PostProcess:2,FLOAT32,[],[],not_quantized,none,not_quantized,[],[],0,225a7edf66752cb76b869e0e507846dd75683cca0a1055994d2b515b55a55b54
